checkpointId,stepId,order,title,subtitle,wireframeRefs,scoringRefs,specMarkdown
S09-01,acq.instrument,1,初始状态,未接线 LCD 关闭,I1-I7,Q026;Q028,"## 界面状态

- 读数仪未开机，LCD 熄灭
- 探头线材未连接

## 学员应做什么

- 选择 **5 针圆形航空插头线** 并连接探头
- **先接线，再开机**

## 默认值

- 测区 01 / 孔 01 / 孔深 25 m（错误，后续需改）
- 探头向下 / 步长 1.0 m（错误，后续需改）

## 验收

- 开机顺序题得分；线材选择题得分"
S09-02,acq.instrument,2,线材选择,探头接口线材弹窗,I1-I7,Q028,"## 界面状态

- 线材选型弹窗打开，四选一图文卡片

## 学员应做什么

- 选择 **A：5 针圆形插头线** 并确认连接

## 正确值

- `acq.instrument.cable` = A

## 验收

- 选错线材不得分"
S09-03,acq.instrument,3,测孔参数,错误默认 01/01/25m,I1-I7,Q029;Q030;Q031,"## 界面状态

- LCD：测孔参数设置
- 默认测区 **01**、孔号 **01**、孔深 **25 m**

## 学员应做什么

- 改为 **03 区 / 06 孔 / 20 m** 并保存

## 正确值

- 测区 03、孔号 06、孔深 20 m

## 验收

- 三道填空题各 1 分"
S09-04,acq.instrument,4,探头设置,错误默认 向下/1.0m,I1-I7,Q032;Q033,"## 界面状态

- LCD：探头设置
- 默认 **向下**、步长 **1.0 m**

## 学员应做什么

- 改为 **向上**、步长 **0.5 m** 并保存

## 正确值

- 方向向上；步长 0.5 m

## 验收

- 方向、步长单选题各 1 分"
S09-05,acq.instrument,5,主菜单,参数已保存,I1-I7,,"## 界面状态

- 测孔与探头参数均已保存，LCD 主菜单
- 可开始新测量或进入补测

## 学员应做什么

- 选择「开始新的测量」进入正测流程

## 数据

- 采集表 41 行空表，组号 05"
S09-06,acq.instrument,6,正测确认,现场未布置,D1-D3;M1-M3,Q037;Q038;Q027,"## 界面状态

- LCD：即将进行正向测量
- 平面图可旋转探头；线材靠齐、测量间距未设

## 学员应做什么

- 旋转至 **A 向** 并确定
- 线材靠齐 **W**
- 测量间距 **0.5 m**
- 完成后按 OK 开始测量

## 验收

- 朝向、靠齐、间距相关题目"
S09-07,acq.instrument,7,正测确认,布置完成,D1-D3;M1-M3,Q037;Q038;Q027,"## 界面状态

- 现场布置三项已完成，可按 OK 进入采集

## 学员应做什么

- 按 OK 开始正向测量

## 正确配置

- A 向、W 靠齐、0.5 m 间距"
S09-08,acq.instrument,8,正测 20m,30s 稳定中,I1-I7;D1-D3,Q039,"## 界面状态

- 深度 **20.0 m**，组 01
- 稳定倒计时 **30 s**（首点）
- 读数带模拟抖动

## 学员应做什么

- 等待稳定后按 OK 记录读数

## 数据

- 稳定后正测 A+ ≈ **0.38 mm**（第 6 期）

## 验收

- Q039 20 m 正测值"
S09-09,acq.instrument,9,上提提示,20m 已读后,I1-I7;D1-D3,,"## 界面状态

- LCD 提示 **▲ 上提 0.5 m**
- 20 m 正测已写入采集表

## 学员应做什么

- 在剖面控制区点上提，再按 OK 进入下一点（19.5 m，稳定 5 s）"
S09-10,acq.instrument,10,反测确认,180° 待靠齐,M1-M3,Q044-Q048,"## 界面状态

- 正测手测 5 点后自动采集其余深度
- LCD：反向测量确认；探头 **180°**

## 学员应做什么

- 重新选择线材靠齐方位后开始反测"
S09-11,acq.instrument,11,补测 12.5m,反测异常,Q034;Q035;Q036;Q049;Q050,"## 界面状态

- LCD：补测位点
- **12.5 m** 反测校验和超 **5 mm**（内置 +8 mm 偏差）

## 学员应做什么

- 组号 **05**、深度 **12.5 m**、方向 **反测**
- 执行补测

## 验收

- 补测三参数 + 异常读数认知题"
S09-12,acq.instrument,12,收工,关电源再拔线,I1-I7,Q051,"## 界面状态

- 正反测完成，phase 6 收工
- 电源仍开、线材仍连

## 学员应做什么

- **先关电源**，再 **拔探头线**

## 验收

- 收工顺序单选题 1 分"
