stepId,questionId,questionLabel,questionDesc,questionType,maxScore,correctAnswer,analysis
STEP01,Q001,点位设计,请选择测斜管的布设位置,singleChoice,1,OPT001,冠梁位于基坑围护结构顶部，沿基坑周圈设置，能够反映围护结构顶部及支护体系的整体变形控制要求，是本题测斜管点位设计中更符合监测目标的位置。基坑开挖区、周边建筑和周边道路虽然都是现场重要对象，但不是本题测斜管布设的最佳目标构件。
STEP01,Q002,间距设计,请参考项目资料，填写测点间距。,fillRange,2,"[20,60]",测点间距应结合规范要求、基坑规模和现场监测需求控制在合理范围内。本题要求间距在20m至60m闭区间内，输入20m或60m均满足要求；低于20m或高于60m均不符合本题的间距设计要求。
STEP02,Q003,取料位置,请选择正确的取料区域,singleChoice,1,OPT006,测斜管应在现场材料库房内领取。库房为封闭式临时存放空间，具备通风、防潮、材料台账和领料登记等条件，更符合测斜管材料存放与领用管理要求。基坑坡顶平台、钢筋笼绑扎区和露天材料暂存区均不适合作为规范的取料位置。
STEP02,Q004,领料检查,到达存放区域后，领取测斜管前应首先进行什么操作？,singleChoice,1,OPT010,领取测斜管前应首先检查管体有无扭曲变形，确认管材外观和结构状态满足后续拼装、安装要求。产品合格证、装箱清单和实际长度也需要核对，但本题强调到达存放区域领取前对管体本身状态的首要检查。
STEP03,Q005,管体选型,本工程应使用哪种型号的测斜管？,singleChoice,1,OPT013,应选用具备十字形导槽并满足工程规格的PVC-U测斜管，保证测斜探头能够按固定方向顺畅滑行并满足埋设强度要求。
STEP03,Q006,接头选型,本工程测斜管应使用哪种型号的连接头？,singleChoice,1,OPT017,连接头应与管体规格和材质匹配，并具备导槽延续结构，保证相邻管节连接后测斜探头通过连续顺畅。
STEP03,Q007,底盖连接,底盖插入管体后应如何操作？,singleChoice,1,OPT021,底盖插入后应通过旋转润胶使胶粘剂分布均匀，再静置初凝，以保证底端封堵和连接密封可靠。
STEP03,Q008,管间连接,管节插入接头管后的正确操作流程是？,singleChoice,1,OPT025,管节连接应按涂胶、插入、旋转润胶、对齐导槽、静置和螺丝固定的流程完成，确保密封性、导槽连续性和机械固定可靠。
STEP04,Q009,预埋绑扎位置,测斜管应固定在钢筋笼截面的哪个位置？,singleChoice,1,OPT029,测斜管宜固定在笼体内侧主筋处，随钢筋笼整体下放并减少下孔过程中与孔壁或导墙直接碰撞的风险，同时有利于保证管体稳定和导槽连续。
STEP04,Q010,预埋固定高度,请选择合理的布置方案。,singleChoice,1,OPT033,测斜管应从钢筋笼底部延伸至地面以上约0.5m，既覆盖钢筋笼全长，又为后续测量入孔和管口保护预留操作高度。
STEP04,Q011,绑扎间距,测斜管绑扎点的间距应如何设置？,singleChoice,1,OPT037,测斜管应沿钢筋笼长度方向按约1.0m至1.5m设置绑扎点，使管体稳定贴附主筋，避免浇筑和下放过程中产生明显位移。
STEP04,Q012,绑扎松紧度,测斜管与钢筋笼的绑扎松紧度应如何控制？,singleChoice,1,OPT041,绑扎应做到固定可靠但不压迫管壁，避免过紧导致管体变形或导槽受损，也不能过松造成管体晃动。
STEP05,Q013,方向偏转,该孔位存在什么问题？应如何处理？,singleChoice,1,OPT046,方向偏转超限时不应直接测量或强行旋转管体处理，应记录实际偏差角度并上报，由技术负责人确认后重新标定A+方向再开展后续工作。
STEP05,Q014,盖帽缺失,该孔位存在什么问题？应如何处理？,singleChoice,1,OPT051,管口敞开且周边有碎屑时，应先清理管口碎屑，防止杂物落入管内，再加装专用保护盖封堵。
STEP05,Q015,混凝土堵塞,该孔位存在什么问题？应如何处理？,singleChoice,1,OPT056,管口被混凝土覆盖时，应人工小心凿除管口周围混凝土，清理后检查管口和导槽完整性，再恢复保护。
STEP05,Q016,状态合格,该孔位存在什么问题？应如何处理？,singleChoice,1,OPT059,管口保护盖完好，A+方向标识清晰且与设计方向一致，周边整洁，状态满足验收要求，可进入通槽复测。
STEP06,Q017,全程通畅,该孔通槽复测结论如何？应如何处理？,singleChoice,1,OPT061,探头全程顺畅到达孔底且上提正常，说明该孔通槽合格，可进入初始值测量。
STEP06,Q018,8m处受阻,该孔通槽复测结论如何？应如何处理？,singleChoice,1,OPT067,8m处重复受阻提示管内可能存在碎屑或接头错位，应记录受阻深度并上报，安排疏通后复测。
STEP06,Q019,全程阻力偏大,该孔通槽复测结论如何？应如何处理？,singleChoice,1,OPT071,全程阻力偏大但可到底时，应作为有条件合格处理，记录异常并评估是否影响测斜探头正常读数，必要时复测确认。
STEP06,Q020,16m处受阻,该孔通槽复测结论如何？应如何处理？,singleChoice,1,OPT074,16m处重复受阻提示深部接头错位或管体变形风险，应记录受阻深度并上报，安排检查处理。
STEP07,Q021,初测时机判断,根据当前测量条件，以下说法正确的是？,singleChoice,2,OPT078,初测应在基坑开挖前完成，并通过连续2~3次测量确认数据稳定后作为后续监测基准。
STEP07,Q022,数据有效性判断,根据测量数据概况，该数据能否作为后续监测的基准？,singleChoice,2,OPT082,仅测量1次且未做正反测，无法验证数据重复性和探头标定，应补做正反测并至少再测1~2次后再确定基准。
STEP08,Q023,环境确认,请确认当日现场环境条件是否适宜开展测斜监测。,singleChoice,2,OPT085,适宜测量天气应为多云或晴、微风、无降水，气温适中，风力不超过4级，满足测斜仪器操作和人员安全要求。暴雨强风、6级大风和大雾低能见度均应暂停测量。
STEP08,Q024,安全防护,请选择进入施工现场必须的个人防护装备。,multiChoice,2,OPT089;OPT090,进入施工现场进行测斜监测时，安全帽和反光背心为必备防护装备。安全帽防止高处坠物伤害，反光背心提高人员可视性。防毒面具和护目镜在常规测斜监测中非必需装备。
STEP08,Q025,测量仪器,请选择本次深层水平位移监测使用的仪器。,singleChoice,2,OPT093,滑动式测斜仪利用重力加速度传感器逐点测量管内倾斜角，推算水平位移累积量，是常规深层水平位移监测的标准手持测量仪器。固定式测斜仪为自动化方案，静力水准仪和收敛计用途不同。
STEP09,Q026,测斜仪开关,请选择正确的测斜仪开机顺序。,singleChoice,1,OPT097,开工时应先连接探头接口，再打开读数仪电源。
STEP09,Q027,测量间距,请选择测斜管上下移动的间距。,singleChoice,1,OPT111,本次上下移动间距应设置为0.5m。
