resourceId,stepId,sourceKey,type,title,displayLabel,usage,adminUploadHint,visualDescription,promptZh,promptEn,aspectRatio,status
prep.tech.plan.topview,prep.tech,steps.diagramLabel,image,基坑支护平面布置图,img:基坑支护平面布置图,前期技术准备主图，用于选择测斜管布设位置,请上传基坑支护平面布置图，需包含冠梁、基坑开挖区、周边建筑、周边道路等可点击区域,工程训练用平面布置图，俯视视角展示深基坑边界、冠梁、开挖区、周边道路与建筑，测点选择区域清晰,"深基坑工程支护平面布置图，俯视视角，冠梁沿基坑周边布置，基坑开挖区、周边道路、邻近建筑清晰标注，工程训练系统用图，简洁清晰","top-down site support layout plan for a deep excavation project with crown beam, excavation area, surrounding road, nearby building, clean engineering training diagram",21:9,placeholder
prep.material.site.birdview,prep.material,steps.diagramLabel,image,施工现场鸟瞰场景图,img:施工现场鸟瞰场景图,取料区域主图，用于选择测斜管材料领取地点,请上传施工现场鸟瞰图，需包含基坑坡顶平台、现场材料库房、钢筋笼绑扎区、材料暂存区,鸟瞰视角的施工现场，多个功能区域分布清晰，适合作为取料区域选择背景,"施工现场鸟瞰图，包含基坑坡顶平台、封闭式现场材料库房、钢筋笼绑扎区、材料暂存棚，工业培训界面风格，区域清晰可辨","bird's-eye view of a construction site with pit top platform, enclosed material warehouse, rebar cage assembly area, temporary material storage shed, clean industrial training illustration",21:9,placeholder
prep.assembly.tube.diagram,prep.assembly,steps.diagramLabel,image,测斜管拼装示意图,img:测斜管拼装示意图,管材拼装主图，用于识别管体、接头、底盖和管节连接处,请上传测斜管拼装示意图，需清楚展示管体、连接头、底盖、导槽和连接节点,工程示意风格的测斜管部件拆解和拼装画面，部件边界清晰，便于放置热点,"测斜管拼装示意图，展示PVC-U测斜管管体、连接头、底盖、十字导槽和管节连接节点，工程技术插画，干净背景","technical assembly diagram of PVC-U inclinometer casing with tube body, connector, bottom cap, cross grooves, joint node, clean engineering illustration",21:9,placeholder
prep.cage.installation.diagram,prep.cage,steps.diagramLabel,image,钢筋笼安装示意图,img:钢筋笼安装示意图,钢筋笼安装步骤主图，用于截面位置、高度方案和绑扎设置,请上传钢筋笼与测斜管安装示意图，需包含钢筋笼截面、立面和测斜管固定位置,钢筋笼工程示意图，展示测斜管随钢筋笼布置和固定的关系,"地下连续墙钢筋笼安装示意图，测斜管固定在钢筋笼内侧主筋处，包含截面和立面关系，工程训练图","engineering diagram of rebar cage installation for diaphragm wall with inclinometer casing fixed to inner main bar, section and elevation relationship, training illustration",21:9,placeholder
prep.inspection.mouth.diagram,prep.inspection,steps.diagramLabel,image,管口验收示意图,img:管口验收示意图,管口验收步骤主图，用于检查四个测斜孔管口状态,请上传管口验收现场图，需包含多个测斜孔管口、保护盖、A+方向标识和基坑边位置关系,基坑边冠梁处多个测斜孔管口的俯视检查场景，问题状态可通过局部细节表达,"基坑边冠梁俯视场景，四个测斜孔管口依次布置，可见保护盖、A+方向标识、混凝土覆盖或碎屑等验收细节，工程训练图","top-down inspection scene along excavation crown beam with four inclinometer pipe openings, protective caps, A+ direction marks, concrete cover or debris details, engineering training illustration",21:9,placeholder
prep.connectivity.test.diagram,prep.connectivity,steps.diagramLabel,image,测斜孔通畅性测试示意图,img:测斜孔通畅性测试示意图,通畅性测试步骤主图，用于展示各孔通槽复测对象,请上传测斜孔通畅性测试示意图，需包含基坑边、冠梁、四个测斜孔和探头通槽检测语境,基坑边俯视工程场景，四个测斜孔沿冠梁布置，表达通槽复测前的整体位置关系,"深基坑边测斜孔通畅性测试示意图，俯视视角，冠梁沿基坑边布置，四个测斜孔清晰标记，工业培训界面用图","top-down diagram of inclinometer borehole connectivity test along a deep excavation edge with crown beam and four clearly marked boreholes, clean industrial training illustration",21:9,placeholder
prep.initialMeasurement.report.info,prep.initialMeasurement,steps.diagramLabel,pdf,初测报告与基准测量信息,img:初测报告与基准测量信息,初测基准测量步骤资料，用于查看初测报告并判断基准数据有效性,请上传初测报告或报告截图，需包含测量条件、初始值曲线、测孔信息和审核结论,工程监测初测报告资料界面，强调测斜孔初始值和测量条件,"深层水平位移初测报告资料页，包含测孔编号、初始测量日期、测量条件、初始值曲线和审核结论，工程资料风格","initial inclinometer measurement report page with borehole ID, date, measurement conditions, baseline displacement curve, review conclusion, engineering document style",4:3,placeholder
acq.safety.checklist,acq.safety,steps.diagramLabel,image,测前准备与安全防护清单,img:测前准备与安全防护清单,测前准备步骤主图，用于确认现场环境和安全装备,请上传测前安全检查清单或现场准备图，需包含天气、围挡、PPE、读数仪和工具包,数据采集前的安全准备清单画面，现场环境和个人防护项目清晰,"测斜监测测前准备与安全防护清单，包含安全帽、反光背心、围挡、天气条件、读数仪、工具箱，工程培训界面风格","pre-measurement safety preparation checklist for inclinometer monitoring with helmet, reflective vest, barricade, weather, reader device, tool box, engineering training UI style",16:9,placeholder
acq.instrument.reader.ui,acq.instrument,steps.diagramLabel,image,读数仪设置与数据采集界面,img:读数仪设置与数据采集界面,读数仪设置与数据采集步骤主界面资源,请上传读数仪界面或设备操作图，需包含读数仪屏幕、方向键、测孔参数和数据采集状态,便携式测斜读数仪操作界面，屏幕菜单和按键清晰，适合交互模拟,"便携式测斜读数仪设置与数据采集界面，LCD菜单、方向键、连接线、测孔参数、采集状态清晰可见，工业设备UI","portable inclinometer reader setup and data acquisition interface with LCD menu, arrow keys, cable connection, borehole parameters, collection status, industrial device UI",16:9,placeholder
data.processing.import.ui,data.processing,steps.diagramLabel,image,数据导入与预处理界面,img:数据导入与预处理界面,数据导入步骤主界面资源，用于连接读数仪和处理原始数据,请上传数据导入处理界面图，需包含设备连接、测孔选择、原始读数表和累计位移计算,工程监测数据处理软件界面，突出表格、曲线和异常数据补全,"深层水平位移数据导入与预处理软件界面，包含设备连接状态、测区孔号选择、原始读数表、累计位移计算和异常点提示","inclinometer data import and preprocessing software interface with device connection, area and borehole selector, raw readings table, cumulative displacement calculation, anomaly hint",16:9,placeholder
