stepId,appStepId,outlineCode,stepName,section,taskDescription,diagramTitle,diagramLabel
prep.tech,1,Q01,前期技术准备,监测与准备,任务说明：请在平面布置图中选择测斜管的布设位置，并填写测点间距。,基坑支护平面布置图,img:基坑支护平面布置图
prep.material,2,Q02,取料区域,监测与准备,任务说明：测斜管材料已到场入库，请选择正确的存放区域前往领料。,施工现场场景图,img:施工现场鸟瞰场景图
prep.assembly,3,Q03,管材拼装,监测与准备,任务说明：请完成测斜管的管材选型与拼装操作，点击图中各部件了解详情后完成配置。,测斜管拼装示意图,img:测斜管拼装示意图
prep.cage,4,Q04,导管安装到钢筋笼,监测与准备,任务说明：请在截面图中选择测斜管安装位置，然后在立面图中完成高度和绑扎设置。,钢筋笼安装示意图,img:钢筋笼安装示意图
prep.inspection,5,Q05,管口验收,监测与准备,任务说明：请逐一检查各测斜孔的管口状态，识别缺陷并选择正确的处理方案。,管口验收示意图,img:管口验收示意图
prep.connectivity,6,Q06,通畅性测试,监测与准备,任务说明：对各测斜孔逐一进行通槽检测，点击孔位查看检测结果并判定结论。,测斜孔通畅性测试示意图,img:测斜孔通畅性测试示意图
prep.initialMeasurement,7,Q07,初测(基准测量),监测与准备,任务说明：请查看初测报告，确认测量条件并判断数据是否可作为监测基准。,初测报告与基准测量信息,img:初测报告与基准测量信息
acq.safety,8,Q08,测前准备与安全防护,数据采集,任务说明：请确认现场环境条件，选择合适的装备，完成出发前的准备。,测前准备与安全防护清单,img:测前准备与安全防护清单
acq.instrument,9,Q09,读数仪设置与数据采集,数据采集,任务说明：请使用读数仪完成测孔CX-06的完整数据采集流程。,读数仪设置与数据采集界面,img:读数仪设置与数据采集界面
data.processing,10,Q10,数据导入与预处理,数据处理,任务说明：请连接读数仪，选择03区06孔，分析数据并补全遗漏的累计位移。,数据导入与预处理界面,img:数据导入与预处理界面
data.report,11,Q11,监测日报表填写,数据处理,任务说明：请参照上期日报表，填写本期「深层水平位移监测日报表」。,深层水平位移监测日报表,img:深层水平位移监测日报表
data.analysis,12,Q12,多期数据分析与预警判断,数据处理,任务说明：对比多期监测曲线，分析变形趋势，标注预警数据并判断预警等级。,多期数据分析与预警判断图,img:多期数据分析与预警判断图
