period,date,depth,aPlus,aMinus,checksum,bPlus,bMinus,cumDisp,change,rate
1,2026-03-01,0.0,1.55,-1.22,0.33,,,0.06,0.06,0.00
1,2026-03-01,0.5,1.20,-0.82,0.38,-35,+35,0.12,0.12,0.00
1,2026-03-01,1.0,1.28,-0.75,0.53,-28,+28,0.18,0.18,0.00
1,2026-03-01,1.5,0.70,-0.15,0.55,-22,+22,0.22,0.22,0.00
1,2026-03-01,2.0,1.42,-0.98,0.44,-18,+18,0.25,0.25,0.00
1,2026-03-01,2.5,1.55,-1.28,0.27,-12,+12,0.30,0.30,0.00
1,2026-03-01,3.0,2.38,-2.05,0.33,-8,+8,0.38,0.38,0.00
1,2026-03-01,3.5,2.45,-2.04,0.41,-5,+5,0.48,0.48,0.00
1,2026-03-01,4.0,3.45,-3.00,0.45,-2,+2,0.60,0.60,0.00
1,2026-03-01,4.5,2.98,-2.68,0.30,+1,-1,0.75,0.75,0.00
1,2026-03-01,5.0,3.90,-3.63,0.27,+3,-3,0.90,0.90,0.00
1,2026-03-01,5.5,4.02,-3.62,0.40,+5,-5,1.08,1.08,0.00
1,2026-03-01,6.0,4.40,-3.93,0.47,+6,-6,1.28,1.28,0.00
1,2026-03-01,6.5,3.90,-3.53,0.37,+8,-8,1.48,1.48,0.00
1,2026-03-01,7.0,4.35,-3.95,0.40,+9,-9,1.68,1.68,0.00
1,2026-03-01,7.5,3.48,-2.98,0.50,+10,-10,1.88,1.88,0.00
1,2026-03-01,8.0,3.48,-2.98,0.50,+11,-11,2.05,2.05,0.00
1,2026-03-01,8.5,2.40,-2.05,0.35,+12,-12,2.20,2.20,0.00
1,2026-03-01,9.0,4.90,-4.62,0.28,+12,-12,2.32,2.32,0.00
1,2026-03-01,9.5,0.95,-0.60,0.35,+11,-11,2.55,2.55,0.00
1,2026-03-01,10.0,-1.22,1.65,0.43,+10,-10,2.60,2.60,0.00
1,2026-03-01,10.5,-4.02,4.38,0.36,+9,-9,2.52,2.52,0.00
1,2026-03-01,11.0,-2.35,2.78,0.43,+8,-8,2.32,2.32,0.00
1,2026-03-01,11.5,-3.15,3.68,0.53,+6,-6,2.18,2.18,0.00
1,2026-03-01,12.0,-3.60,4.05,0.45,+5,-5,2.02,2.02,0.00
1,2026-03-01,12.5,-4.50,4.70,0.20,+4,-4,1.82,1.82,0.00
1,2026-03-01,13.0,-4.08,4.35,0.27,+3,-3,1.60,1.60,0.00
1,2026-03-01,13.5,-2.98,3.42,0.44,+2,-2,1.38,1.38,0.00
1,2026-03-01,14.0,-5.18,5.62,0.44,+1,-1,1.23,1.23,0.00
1,2026-03-01,14.5,-3.30,3.90,0.60,+1,-1,0.95,0.95,0.00
1,2026-03-01,15.0,-2.72,3.28,0.56,0,0,0.78,0.78,0.00
1,2026-03-01,15.5,-2.85,3.18,0.33,0,0,0.62,0.62,0.00
1,2026-03-01,16.0,-1.65,1.95,0.30,0,0,0.48,0.48,0.00
1,2026-03-01,16.5,-2.00,2.47,0.47,0,0,0.38,0.38,0.00
1,2026-03-01,17.0,-1.18,1.65,0.47,0,0,0.28,0.28,0.00
1,2026-03-01,17.5,-1.53,2.00,0.47,0,0,0.20,0.20,0.00
1,2026-03-01,18.0,-0.42,0.73,0.31,0,0,0.12,0.12,0.00
1,2026-03-01,18.5,-0.87,1.15,0.28,0,0,0.08,0.08,0.00
1,2026-03-01,19.0,0.05,0.42,0.47,0,0,0.04,0.04,0.00
1,2026-03-01,19.5,-0.30,0.82,0.52,0,0,0.02,0.02,0.00
1,2026-03-01,20.0,0.38,0.05,0.43,0,0,0.00,0.00,0.00
2,2026-03-05,0.0,,,,,,0.13,0.07,0.02
2,2026-03-05,0.5,,,,,,0.25,0.13,0.03
2,2026-03-05,1.0,,,,,,0.37,0.19,0.05
2,2026-03-05,1.5,,,,,,0.45,0.23,0.06
2,2026-03-05,2.0,,,,,,0.52,0.27,0.07
2,2026-03-05,2.5,,,,,,0.62,0.32,0.08
2,2026-03-05,3.0,,,,,,0.78,0.40,0.10
2,2026-03-05,3.5,,,,,,0.98,0.50,0.13
2,2026-03-05,4.0,,,,,,1.25,0.65,0.16
2,2026-03-05,4.5,,,,,,1.55,0.80,0.20
2,2026-03-05,5.0,,,,,,1.88,0.98,0.24
2,2026-03-05,5.5,,,,,,2.25,1.17,0.29
2,2026-03-05,6.0,,,,,,2.65,1.37,0.34
2,2026-03-05,6.5,,,,,,3.05,1.57,0.39
2,2026-03-05,7.0,,,,,,3.45,1.77,0.44
2,2026-03-05,7.5,,,,,,3.85,1.97,0.49
2,2026-03-05,8.0,,,,,,4.20,2.15,0.54
2,2026-03-05,8.5,,,,,,4.50,2.30,0.57
2,2026-03-05,9.0,,,,,,4.75,2.43,0.61
2,2026-03-05,9.5,,,,,,5.30,2.75,0.69
2,2026-03-05,10.0,,,,,,5.40,2.80,0.70
2,2026-03-05,10.5,,,,,,5.25,2.73,0.68
2,2026-03-05,11.0,,,,,,4.75,2.43,0.61
2,2026-03-05,11.5,,,,,,4.48,2.30,0.57
2,2026-03-05,12.0,,,,,,4.15,2.13,0.53
2,2026-03-05,12.5,,,,,,3.75,1.93,0.48
2,2026-03-05,13.0,,,,,,3.30,1.70,0.42
2,2026-03-05,13.5,,,,,,2.85,1.47,0.37
2,2026-03-05,14.0,,,,,,2.54,1.31,0.33
2,2026-03-05,14.5,,,,,,1.95,1.00,0.25
2,2026-03-05,15.0,,,,,,1.58,0.80,0.20
2,2026-03-05,15.5,,,,,,1.25,0.63,0.16
2,2026-03-05,16.0,,,,,,0.98,0.50,0.13
2,2026-03-05,16.5,,,,,,0.75,0.37,0.09
2,2026-03-05,17.0,,,,,,0.55,0.27,0.07
2,2026-03-05,17.5,,,,,,0.38,0.18,0.04
2,2026-03-05,18.0,,,,,,0.25,0.13,0.03
2,2026-03-05,18.5,,,,,,0.15,0.07,0.02
2,2026-03-05,19.0,,,,,,0.08,0.04,0.01
2,2026-03-05,19.5,,,,,,0.04,0.02,0.01
2,2026-03-05,20.0,,,,,,0.00,0.00,0.00
3,2026-03-10,0.0,,,,,,0.21,0.08,0.02
3,2026-03-10,0.5,,,,,,0.38,0.13,0.03
3,2026-03-10,1.0,,,,,,0.55,0.18,0.04
3,2026-03-10,1.5,,,,,,0.68,0.23,0.05
3,2026-03-10,2.0,,,,,,0.80,0.28,0.06
3,2026-03-10,2.5,,,,,,0.95,0.33,0.07
3,2026-03-10,3.0,,,,,,1.20,0.42,0.08
3,2026-03-10,3.5,,,,,,1.52,0.54,0.11
3,2026-03-10,4.0,,,,,,1.95,0.70,0.14
3,2026-03-10,4.5,,,,,,2.42,0.87,0.17
3,2026-03-10,5.0,,,,,,2.95,1.07,0.21
3,2026-03-10,5.5,,,,,,3.55,1.30,0.26
3,2026-03-10,6.0,,,,,,4.18,1.53,0.31
3,2026-03-10,6.5,,,,,,4.82,1.77,0.35
3,2026-03-10,7.0,,,,,,5.48,2.03,0.41
3,2026-03-10,7.5,,,,,,6.12,2.27,0.45
3,2026-03-10,8.0,,,,,,6.70,2.50,0.50
3,2026-03-10,8.5,,,,,,7.18,2.68,0.54
3,2026-03-10,9.0,,,,,,7.58,2.83,0.57
3,2026-03-10,9.5,,,,,,8.45,3.15,0.63
3,2026-03-10,10.0,,,,,,8.60,3.20,0.64
3,2026-03-10,10.5,,,,,,8.35,3.10,0.62
3,2026-03-10,11.0,,,,,,7.55,2.80,0.56
3,2026-03-10,11.5,,,,,,7.12,2.64,0.53
3,2026-03-10,12.0,,,,,,6.60,2.45,0.49
