stepId,hotspotId,label,desc,x,y,width,height,questionId
prep.tech,CX1,冠梁,冠梁是连接各围护桩/墙顶部的钢筋混凝土梁，位于基坑围护结构的顶部，沿基坑周圈设置。,20%,35%,,,prep.tech.location
prep.tech,CX3,基坑开挖区,基坑开挖区域内部，当前开挖深度12m，底部为基坑作业面。,40%,55%,,,prep.tech.location
prep.tech,CX4,周边建筑,基坑东侧邻近商业楼，距基坑边缘约12m，为既有多层建筑。,85%,60%,,,prep.tech.location
prep.tech,CX2,周边道路,基坑外侧的市政道路区域，地下分布有污水干管DN300等市政管线，地面有施工车辆通行。,45%,85%,,,prep.tech.location
prep.material,slopePlatform,基坑坡顶平台,基坑开挖边线外侧的硬化平台，紧邻基坑边缘，设有安全围挡和警示标识，地面可见测量控制桩和施工放线标记。,20%,30%,,,prep.material.area
prep.material,materialWarehouse,现场材料库房内,施工现场的封闭式临时库房，室内配有通风窗和温湿度计，各类材料分架存放，设有材料台账和领料登记簿。,60%,25%,,,prep.material.area
prep.material,rebarCageArea,钢筋笼绑扎区,施工现场的钢筋笼预制加工区域，地面摆放有已成型和待绑扎的钢筋笼，旁边有绑扎工具和铁丝等辅材。,25%,75%,,,prep.material.area
prep.material,tempStorageShed,材料暂存区顶棚下方,施工现场的露天材料暂存区域，上方有简易顶棚遮蔽，地面铺设枕木隔潮，各类建材按品种分区码放，设有材料标识牌。,75%,65%,,,prep.material.area
prep.assembly,tube,测斜管管体,测斜管的主体管节部分，是测斜探头上下滑行的通道。管节内壁设有导槽结构，用于引导探头定向运动。不同工程对管材材质、口径和壁厚有不同要求。,13%,42%,,,prep.assembly.tube
prep.assembly,connector,连接管件,用于连接相邻两节管材的短管件，套在两根管节的对接处。接头管内壁结构须与管节导槽配合，确保探头通过时连续顺畅。,42%,58%,,,prep.assembly.connector
prep.assembly,bottomCap,底盖连接处,底盖封堵管串最下端管口，是混凝土浇筑时承受液压最大的部位。底盖与第一根管节之间的连接需要完成密封、操作和机械固定三项设置。,76%,42%,w-7,h-9,prep.assembly.bottomCap
prep.assembly,joint,管节连接头,相邻管节通过接头管对接，是管串中数量最多的连接部位。每个连接处需要完成密封、操作和机械固定三项设置，并保证导槽方向连续。,25%,58%,w-7,h-9,prep.assembly.joint
prep.cage,sectionInnerMainBar,笼体内侧主筋处,钢筋笼迎向基坑内侧的纵筋位置。该处位于笼体内侧，下孔过程中不直接接触孔壁。测斜管固定在此处后随钢筋笼整体下放。,50%,10%,,,prep.cage.section
prep.cage,sectionPitSide,笼体基坑侧面,钢筋笼朝向基坑开挖面的一侧。该侧是围护结构承受侧向土压力的受力面，距开挖面最近。,90%,50%,,,prep.cage.section
prep.cage,sectionOuterMainBar,笼体外侧主筋处,钢筋笼背向基坑的外侧纵筋位置。该处在下孔时靠近孔壁或导墙，空间相对紧凑。,50%,90%,,,prep.cage.section
prep.cage,sectionSoilSide,笼体土侧面,钢筋笼朝向保留土体的一侧。该侧远离基坑开挖面，土压力方向与位移监测主方向存在夹角。,10%,50%,,,prep.cage.section
prep.cage,heightPlan1,方案①,测斜管从钢筋笼底部延伸至地面以上约0.5m。管体覆盖钢筋笼全长，顶口高出地面便于后续测量入孔。,25%,92%,,,prep.cage.height
prep.cage,heightPlan2,方案②,测斜管从钢筋笼底部延伸至地面标高。管体覆盖钢筋笼全长，但顶口与地面齐平，无预留。,42%,92%,,,prep.cage.height
prep.cage,heightPlan3,方案③,测斜管底部距笼底约2m，顶部超出地面0.5m。管体未覆盖笼底段。,58%,92%,,,prep.cage.height
prep.cage,heightPlan4,方案④,测斜管从笼底延伸至地面以下约1m处。管体覆盖笼底但顶口在地面以下。,75%,92%,,,prep.cage.height
prep.cage,cageBinding,钢筋笼介绍,钢筋笼是地下连续墙的主要承力构件，由纵筋、箮筋和拉筋组成。测斜管通过钢丝绑扎固定在钢筋笼的主筋上，随钢筋笼一同下放入槽段。绑扎质量直接影响测斜管在混凝土浇筑过程中的稳定性和导槽的连续性。,40%,50%,,,prep.cage.binding
prep.inspection,CX-01,管口状态1,孔号：CX-01；位置：基坑北侧冠梁；外露高度：约0.5m；保护盖：在位。A+方向标识可见，标识箭头指向与设计监测方向（垂直基坑边）存在约45°夹角，偏向东北方向。管口完好无破损，管口周边整洁。,15%,35%,w-20,h-20,prep.inspection.cx01
prep.inspection,CX-02,管口状态2,孔号：CX-02；位置：基坑北侧冠梁；外露高度：约0.5m；保护盖：无。管口处无保护盖，管口敞开，可见管内十字形导槽，顶口完好无破损。管口周边有少量施工碎屑散落。,38%,35%,w-20,h-20,prep.inspection.cx02
prep.inspection,CX-03,管口状态3,孔号：CX-03；位置：基坑北侧冠梁；外露高度：可辨认但被覆盖；保护盖：被混凝土包裹。管口被一层混凝土浆覆盖，无法看到导槽和A+标识。管口周围有浇筑溢出痕迹。,61%,35%,w-20,h-20,prep.inspection.cx03
prep.inspection,CX-04,管口状态4,孔号：CX-04；位置：基坑北侧冠梁；外露高度：约0.5m；保护盖：完好。管口保护盖完好。A+方向标识清晰，指向与设计监测方向一致。管口周边整洁无杂物。,84%,35%,w-20,h-20,prep.inspection.cx04
prep.connectivity,CX-01,测斜孔1,"探头从管口放入，靠自重缓慢下降。全程下降顺畅，无明显阻力。探头顺利到达孔底20m。上提过程同样顺畅，升降自如。",15%,35%,w-20,h-20,prep.connectivity.cx01
prep.connectivity,CX-02,测斜孔2,"探头从管口放入，初始下降正常。下降至约8m处，探头突然受阻，无法继续下降。反复尝试提升后重新下放，仍在同一位置受阻。",38%,35%,w-20,h-20,prep.connectivity.cx02
prep.connectivity,CX-03,测斜孔3,"探头从管口放入，下降过程中全程均感到明显的摩擦阻力，下降速度比正常情况慢。探头最终可到达孔底20m，但上提时同样阻力偏大。",61%,35%,w-20,h-20,prep.connectivity.cx03
prep.connectivity,CX-04,测斜孔4,"探头从管口放入，初始下降正常。下降至约16m处，探头突然受阻，无法继续下降。反复尝试提升后重新下放，仍在同一位置受阻。管口验收时该孔外观完全正常。",84%,35%,w-20,h-20,prep.connectivity.cx04
prep.initialMeasurement,condition,测量条件,"■ 工程进度|基坑围护结构（地下连续墙）已浇筑完成，混凝土养护已满14天。冠梁施工完成，测斜管已预埋并通过通槽检测。第一道混凝土支撑尚未施工。||■ 开挖状态|基坑尚未开始土方开挖。项目部计划3天后正式开挖。周边建筑物沉降监测点已布设完成。||■ 现场条件|近一周无大面积降雨，地下水位稳定。场地周边无打桩、爆破等大型振动源施工。测量当日天气晴朗，气温18°C。",,,,,prep.initialMeasurement.condition
prep.initialMeasurement,data,测量数据,初测数据表（深度/A+/B+）40行,,,,,prep.initialMeasurement.data
