period,date,previousPeriod,previousDate,intervalDays,depth,cumDisp,prevCumDisp,change,rate,isChangeMissing,isRateMissing
7,2026-03-27,6,2026-03-24,3,0.0,0.48,0.41,0.07,0.02,false,false
7,2026-03-27,6,2026-03-24,3,0.5,0.84,0.72,0.12,0.04,false,false
7,2026-03-27,6,2026-03-24,3,1.0,1.20,1.03,0.17,0.06,false,false
7,2026-03-27,6,2026-03-24,3,1.5,1.52,1.30,0.22,0.07,false,false
7,2026-03-27,6,2026-03-24,3,2.0,1.85,1.55,0.30,0.10,false,false
7,2026-03-27,6,2026-03-24,3,2.5,2.28,1.92,0.36,0.12,false,false
7,2026-03-27,6,2026-03-24,3,3.0,2.98,2.48,0.50,0.17,false,false
7,2026-03-27,6,2026-03-24,3,3.5,3.90,3.22,0.68,0.23,false,false
7,2026-03-27,6,2026-03-24,3,4.0,5.10,4.18,0.92,0.31,false,false
7,2026-03-27,6,2026-03-24,3,4.5,6.55,5.32,1.23,0.41,false,false
7,2026-03-27,6,2026-03-24,3,5.0,8.20,6.60,1.60,0.53,false,false
7,2026-03-27,6,2026-03-24,3,5.5,10.10,8.05,2.05,0.68,false,false
7,2026-03-27,6,2026-03-24,3,6.0,12.12,9.60,2.52,0.84,false,false
7,2026-03-27,6,2026-03-24,3,6.5,14.25,11.22,3.03,1.01,false,false
7,2026-03-27,6,2026-03-24,3,7.0,16.42,12.88,3.54,1.18,false,false
7,2026-03-27,6,2026-03-24,3,7.5,18.62,14.55,4.07,1.36,false,false
7,2026-03-27,6,2026-03-24,3,8.0,20.72,16.10,4.62,1.54,false,false
7,2026-03-27,6,2026-03-24,3,8.5,22.55,17.45,5.10,1.70,false,false
7,2026-03-27,6,2026-03-24,3,9.0,24.08,18.58,5.50,1.83,false,false
7,2026-03-27,6,2026-03-24,3,9.5,26.85,20.70,6.15,2.05,false,false
7,2026-03-27,6,2026-03-24,3,10.0,27.20,21.00,6.20,2.07,false,false
7,2026-03-27,6,2026-03-24,3,10.5,26.65,20.55,6.10,2.03,false,false
7,2026-03-27,6,2026-03-24,3,11.0,23.95,18.55,5.40,1.80,false,false
7,2026-03-27,6,2026-03-24,3,11.5,22.42,17.42,5.00,1.67,false,false
7,2026-03-27,6,2026-03-24,3,12.0,20.58,16.05,4.53,1.51,false,false
7,2026-03-27,6,2026-03-24,3,12.5,18.45,14.45,4.00,1.33,false,false
7,2026-03-27,6,2026-03-24,3,13.0,16.12,12.68,3.44,1.15,false,false
7,2026-03-27,6,2026-03-24,3,13.5,13.72,10.85,2.87,0.96,false,false
7,2026-03-27,6,2026-03-24,3,14.0,12.11,9.62,2.49,0.83,false,false
7,2026-03-27,6,2026-03-24,3,14.5,9.15,7.32,1.83,0.61,false,false
7,2026-03-27,6,2026-03-24,3,15.0,7.22,5.82,1.40,0.47,false,false
7,2026-03-27,6,2026-03-24,3,15.5,5.62,4.55,1.07,0.36,false,false
7,2026-03-27,6,2026-03-24,3,16.0,4.28,3.48,0.80,0.27,false,false
7,2026-03-27,6,2026-03-24,3,16.5,3.18,2.60,0.58,0.19,false,false
7,2026-03-27,6,2026-03-24,3,17.0,2.25,1.85,0.40,0.13,false,false
7,2026-03-27,6,2026-03-24,3,17.5,1.50,1.25,0.25,0.08,false,false
7,2026-03-27,6,2026-03-24,3,18.0,0.95,0.80,0.15,0.05,false,false
7,2026-03-27,6,2026-03-24,3,18.5,0.52,0.45,0.07,0.02,false,false
7,2026-03-27,6,2026-03-24,3,19.0,0.28,0.22,0.06,0.02,false,false
7,2026-03-27,6,2026-03-24,3,19.5,0.14,0.12,0.02,0.01,false,false
7,2026-03-27,6,2026-03-24,3,20.0,0.00,0.00,0.00,0.00,false,false
8,2026-04-03,7,2026-03-27,7,0.0,0.54,0.48,0.06,0.01,false,false
8,2026-04-03,7,2026-03-27,7,0.5,0.97,0.84,0.13,0.02,false,false
8,2026-04-03,7,2026-03-27,7,1.0,1.40,1.20,0.20,0.03,false,false
8,2026-04-03,7,2026-03-27,7,1.5,1.78,1.52,0.26,0.04,false,false
8,2026-04-03,7,2026-03-27,7,2.0,2.20,1.85,0.35,0.05,true,false
8,2026-04-03,7,2026-03-27,7,2.5,2.72,2.28,0.44,0.06,false,false
8,2026-04-03,7,2026-03-27,7,3.0,3.58,2.98,0.60,0.09,false,false
8,2026-04-03,7,2026-03-27,7,3.5,4.72,3.90,0.82,0.12,false,false
8,2026-04-03,7,2026-03-27,7,4.0,6.22,5.10,1.12,0.16,false,false
8,2026-04-03,7,2026-03-27,7,4.5,8.05,6.55,1.50,0.21,false,false
8,2026-04-03,7,2026-03-27,7,5.0,10.15,8.20,1.95,0.28,false,false
8,2026-04-03,7,2026-03-27,7,5.5,12.62,10.10,2.52,0.36,false,false
8,2026-04-03,7,2026-03-27,7,6.0,15.25,12.12,3.13,0.45,false,false
8,2026-04-03,7,2026-03-27,7,6.5,18.05,14.25,3.80,0.54,false,false
8,2026-04-03,7,2026-03-27,7,7.0,20.95,16.42,4.53,0.65,false,false
8,2026-04-03,7,2026-03-27,7,7.5,23.88,18.62,5.26,0.75,false,false
8,2026-04-03,7,2026-03-27,7,8.0,26.72,20.72,6.00,0.86,false,false
8,2026-04-03,7,2026-03-27,7,8.5,29.22,22.55,6.67,0.95,false,false
8,2026-04-03,7,2026-03-27,7,9.0,31.32,24.08,7.24,1.03,false,false
8,2026-04-03,7,2026-03-27,7,9.5,35.50,26.85,8.65,1.24,false,false
8,2026-04-03,7,2026-03-27,7,10.0,36.00,27.20,8.80,1.26,true,true
